,geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size,geo_type,data_source
1,al,smoothed_cli,2020-04-10,,2020-09-03,146,0.7875427,0.0564778,18394.3693,state,fb-survey
2,ar,smoothed_cli,2020-04-10,,2020-09-03,146,0.908503,0.0774492,11516.7624,state,fb-survey
3,az,smoothed_cli,2020-04-10,,2020-09-03,146,0.9135751,0.0524999,24581.5066,state,fb-survey
4,ca,smoothed_cli,2020-04-10,,2020-09-03,146,0.7012789,0.0479669,22968.3438,state,fb-survey
5,co,smoothed_cli,2020-04-10,,2020-09-03,146,1.2412729,0.0611418,24788.2386,state,fb-survey
6,ct,smoothed_cli,2020-04-10,,2020-09-03,146,0.8736609,0.0690868,13288.0,state,fb-survey
7,dc,smoothed_cli,2020-04-10,,2020-09-03,146,0.5160056,0.1256546,2395.0,state,fb-survey
8,de,smoothed_cli,2020-04-10,,2020-09-03,146,0.718018,0.1165544,3964.0438,state,fb-survey
9,fl,smoothed_cli,2020-04-10,,2020-09-03,146,0.6428509,0.041456,27841.0017,state,fb-survey
10,ga,smoothed_cli,2020-04-10,,2020-09-03,146,0.6812307,0.0451185,23349.8416,state,fb-survey
11,hi,smoothed_cli,2020-04-10,,2020-09-03,146,0.6271379,0.112951,3828.0,state,fb-survey
12,ia,smoothed_cli,2020-04-10,,2020-09-03,146,1.0841408,0.0776725,13317.8347,state,fb-survey
13,id,smoothed_cli,2020-04-10,,2020-09-03,146,1.109225,0.1053666,7302.0662,state,fb-survey
14,il,smoothed_cli,2020-04-10,,2020-09-03,146,0.8252989,0.0489469,25483.1364,state,fb-survey
15,in,smoothed_cli,2020-04-10,,2020-09-03,146,1.0118357,0.0509495,28268.0215,state,fb-survey
16,ks,smoothed_cli,2020-04-10,,2020-09-03,146,0.822056,0.0696333,12590.7744,state,fb-survey
17,ky,smoothed_cli,2020-04-10,,2020-09-03,146,0.7800539,0.0528825,19360.9345,state,fb-survey
18,la,smoothed_cli,2020-04-10,,2020-09-03,146,0.9321695,0.064129,16089.546,state,fb-survey
19,ma,smoothed_cli,2020-04-10,,2020-09-03,146,0.6634609,0.0438836,25204.066,state,fb-survey
20,md,smoothed_cli,2020-04-10,,2020-09-03,146,0.5796114,0.0439541,21633.942,state,fb-survey
21,me,smoothed_cli,2020-04-10,,2020-09-03,146,0.9588625,0.1074273,6204.4468,state,fb-survey
22,mi,smoothed_cli,2020-04-10,,2020-09-03,146,0.9061387,0.0454796,32742.0687,state,fb-survey
23,mn,smoothed_cli,2020-04-10,,2020-09-03,146,0.8225485,0.0537331,21266.5943,state,fb-survey
24,mo,smoothed_cli,2020-04-10,,2020-09-03,146,0.7784841,0.047583,25522.5447,state,fb-survey
25,ms,smoothed_cli,2020-04-10,,2020-09-03,146,0.8188361,0.0741441,10492.8004,state,fb-survey
26,mt,smoothed_cli,2020-04-10,,2020-09-03,146,0.9640387,0.1297434,4626.1975,state,fb-survey
27,nc,smoothed_cli,2020-04-10,,2020-09-03,146,0.6819868,0.0451409,24817.0181,state,fb-survey
28,nd,smoothed_cli,2020-04-10,,2020-09-03,146,0.6061258,0.1203935,2957.8834,state,fb-survey
29,ne,smoothed_cli,2020-04-10,,2020-09-03,146,0.9973389,0.1019007,7395.261,state,fb-survey
30,nh,smoothed_cli,2020-04-10,,2020-09-03,146,0.7409287,0.0921229,6177.5532,state,fb-survey
31,nj,smoothed_cli,2020-04-10,,2020-09-03,146,1.1105721,0.0555185,25995.9847,state,fb-survey
32,nm,smoothed_cli,2020-04-10,,2020-09-03,146,0.5659422,0.0715904,7808.0178,state,fb-survey
33,nv,smoothed_cli,2020-04-10,,2020-09-03,146,0.8466279,0.073564,11595.9125,state,fb-survey
34,ny,smoothed_cli,2020-04-10,,2020-09-03,146,1.5609675,0.0716918,22426.0021,state,fb-survey
35,oh,smoothed_cli,2020-04-10,,2020-09-03,146,0.7841954,0.0437202,29487.008,state,fb-survey
36,ok,smoothed_cli,2020-04-10,,2020-09-03,146,0.9955327,0.0669834,16240.908,state,fb-survey
37,or,smoothed_cli,2020-04-10,,2020-09-03,146,1.0343997,0.0662356,17694.3196,state,fb-survey
38,pa,smoothed_cli,2020-04-10,,2020-09-03,146,0.6877231,0.0398673,32614.0234,state,fb-survey
39,ri,smoothed_cli,2020-04-10,,2020-09-03,146,0.6641298,0.1074703,4281.934,state,fb-survey
40,sc,smoothed_cli,2020-04-10,,2020-09-03,146,0.7380946,0.0513856,20510.0161,state,fb-survey
41,sd,smoothed_cli,2020-04-10,,2020-09-03,146,1.0252103,0.1497193,3427.7738,state,fb-survey
42,tn,smoothed_cli,2020-04-10,,2020-09-03,146,0.8241907,0.049515,24925.0042,state,fb-survey
43,tx,smoothed_cli,2020-04-10,,2020-09-03,146,0.7445358,0.047679,23670.503,state,fb-survey
44,ut,smoothed_cli,2020-04-10,,2020-09-03,146,0.9018499,0.072356,12013.5983,state,fb-survey
